# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: subsurface mass flux
# Region: west
# Functional: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: tcq cell
# Region: BTC obs
# Functional: point
# Variable: total_component_quantity
# Number of Vectors: 4
# -----------------------------------------------------------------------------
# Observation Name: tcc last column
# Region: BTC all
# Functional: extensive integral
# Variable: total_component_concentration
# Number of Vectors: 2
# -----------------------------------------------------------------------------
# Observation Name: tcc seepage
# Region: BTC seepage
# Functional: extensive integral
# Variable: total_component_concentration
# Number of Vectors: 2
# -----------------------------------------------------------------------------
# Observation Name: tcq last column
# Region: BTC all
# Functional: extensive integral
# Variable: total_component_quantity
# Number of Vectors: 4
# -----------------------------------------------------------------------------
# Observation Name: water content last column
# Region: BTC all
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: tcq seepage cell
# Region: BTC seepage cell
# Functional: point
# Variable: total_component_quantity
# Number of Vectors: 4
# -----------------------------------------------------------------------------
# Observation Name: tcq seepage
# Region: BTC seepage
# Functional: extensive integral
# Variable: total_component_quantity
# Number of Vectors: 4
# =============================================================================
"time [s]" "subsurface mass flux" "tcq cell tracer1" "tcq cell tracer2" "tcq cell H2O_old" "tcq cell H2O_new" "tcc last column tracer1" "tcc last column tracer2" "tcc seepage tracer1" "tcc seepage tracer2" "tcq last column tracer1" "tcq last column tracer2" "tcq last column H2O_old" "tcq last column H2O_new" "water content last column" "tcq seepage cell tracer1" "tcq seepage cell tracer2" "tcq seepage cell H2O_old" "tcq seepage cell H2O_new" "tcq seepage tracer1" "tcq seepage tracer2" "tcq seepage H2O_old" "tcq seepage H2O_new"
2.754600000000e+05 1.206750934266e+04 nan nan nan nan 0.000000000000e+00 4.453805195292e-01 0.000000000000e+00 5.565531349632e-03 0.000000000000e+00 9.741091707769e+02 5.429270588345e+06 5.429279054636e+06 5.429270588345e+06 0.000000000000e+00 1.072076825099e+01 4.979761920000e+05 4.979761919586e+05 0.000000000000e+00 4.619170179911e+01 1.493928576000e+07 1.493928575953e+07
2.755200000000e+05 1.206731735830e+04 nan nan nan nan 0.000000000000e+00 4.441431368549e-01 0.000000000000e+00 5.571454568298e-03 0.000000000000e+00 9.713954753375e+02 5.429258128654e+06 5.429266594894e+06 5.429258128654e+06 0.000000000000e+00 1.073383496289e+01 4.979761920000e+05 4.979761783835e+05 0.000000000000e+00 4.624086216370e+01 1.493928576000e+07 1.493928573761e+07
2.755800000000e+05 1.206713460276e+04 nan nan nan nan 0.000000000000e+00 4.429089194030e-01 0.000000000000e+00 5.577380453264e-03 0.000000000000e+00 9.686887467221e+02 5.429245664400e+06 5.429254133860e+06 5.429245664400e+06 0.000000000000e+00 1.074691060942e+01 4.979761920000e+05 4.979761919280e+05 0.000000000000e+00 4.629004465753e+01 1.493928576000e+07 1.493928575936e+07
2.756400000000e+05 1.206695184851e+04 nan nan nan nan 0.000000000000e+00 4.416778592792e-01 0.000000000000e+00 5.583308923568e-03 0.000000000000e+00 9.659889680377e+02 5.429233200207e+06 5.429241668265e+06 5.429233200207e+06 0.000000000000e+00 1.075999398531e+01 4.979761920000e+05 4.979762054807e+05 0.000000000000e+00 4.633924860863e+01 1.493928576000e+07 1.493928578112e+07
2.757000000000e+05 1.206676909553e+04 nan nan nan nan 0.000000000000e+00 4.404499493734e-01 0.000000000000e+00 5.589239862574e-03 0.000000000000e+00 9.632961235456e+02 5.429220736072e+06 5.429229202729e+06 5.429220736072e+06 0.000000000000e+00 1.077308487631e+01 4.979761920000e+05 4.979762190245e+05 0.000000000000e+00 4.638847304899e+01 1.493928576000e+07 1.493928580286e+07
2.757600000000e+05 1.206657489276e+04 nan nan nan nan 0.000000000000e+00 4.392251833165e-01 0.000000000000e+00 5.595172546186e-03 0.000000000000e+00 9.606101985906e+02 5.429208264789e+06 5.429216739194e+06 5.429208264789e+06 0.000000000000e+00 1.078618108485e+01 4.979761920000e+05 4.979761919586e+05 0.000000000000e+00 4.643771196888e+01 1.493928576000e+07 1.493928575924e+07
2.758200000000e+05 1.206638069144e+04 nan nan nan nan 0.000000000000e+00 4.380035532625e-01 0.000000000000e+00 5.601107144268e-03 0.000000000000e+00 9.579311763789e+02 5.429195793566e+06 5.429204268514e+06 5.429195793566e+06 0.000000000000e+00 1.079928450995e+01 4.979761920000e+05 4.979761648850e+05 0.000000000000e+00 4.648696677811e+01 1.493928576000e+07 1.493928571565e+07
2.758800000000e+05 1.206619816022e+04 nan nan nan nan 0.000000000000e+00 4.367850529188e-01 0.000000000000e+00 5.607044736532e-03 0.000000000000e+00 9.552590424067e+02 5.429183318309e+06 5.429191795531e+06 5.429183318309e+06 0.000000000000e+00 1.081239831090e+01 4.979761920000e+05 4.979761920132e+05 0.000000000000e+00 4.653624643787e+01 1.493928576000e+07 1.493928575962e+07
2.759400000000e+05 1.206601563027e+04 nan nan nan nan 0.000000000000e+00 4.355696744760e-01 0.000000000000e+00 5.612985153911e-03 0.000000000000e+00 9.525937799541e+02 5.429170843111e+06 5.429179318514e+06 5.429170843111e+06 0.000000000000e+00 1.082552005342e+01 4.979761920000e+05 4.979762191407e+05 0.000000000000e+00 4.658554954495e+01 1.493928576000e+07 1.493928580361e+07
2.760000000000e+05 1.206582413757e+04 nan nan nan nan 0.000000000000e+00 4.343574114162e-01 0.000000000000e+00 5.618927269760e-03 0.000000000000e+00 9.499353741945e+02 5.429158362057e+06 5.429166843336e+06 5.429158362057e+06 0.000000000000e+00 1.083864649453e+01 4.979761920000e+05 4.979761919870e+05 0.000000000000e+00 4.663486674867e+01 1.493928576000e+07 1.493928575942e+07
