# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: subsurface mass flux
# Region: west
# Functional: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: total component concentration
# Region: BTC obs
# Functional: point
# Variable: total_component_concentration
# Number of Vectors: 2
# -----------------------------------------------------------------------------
# Observation Name: tcc last column
# Region: BTC all
# Functional: extensive integral
# Variable: total_component_concentration
# Number of Vectors: 2
# -----------------------------------------------------------------------------
# Observation Name: tcc seepage
# Region: BTC seepage
# Functional: extensive integral
# Variable: total_component_concentration
# Number of Vectors: 2
# -----------------------------------------------------------------------------
# Observation Name: tcq last column
# Region: BTC all
# Functional: extensive integral
# Variable: total_component_quantity
# Number of Vectors: 4
# -----------------------------------------------------------------------------
# Observation Name: water content last column
# Region: BTC all
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# =============================================================================
"time [s]" "subsurface mass flux" "total component concentration tracer1" "total component concentration tracer2" "tcc last column tracer1" "tcc last column tracer2" "tcc seepage tracer1" "tcc seepage tracer2" "tcq last column tracer1" "tcq last column tracer2" "tcq last column H2O_old" "tcq last column H2O_new" "water content last column"
4.974000000000e+04 0.000000000000e+00 nan nan 1.277649579153e+00 2.547311413763e-01 2.973996797200e-01 5.084792847898e-01 1.559858406961e+02 4.486753326646e+01 4.955515048122e+05 4.955515047768e+05 4.955515048122e+05
4.980000000000e+04 0.000000000000e+00 nan nan 1.275663991018e+00 2.554794863501e-01 2.961594587377e-01 5.101314578947e-01 1.557232253252e+02 4.499317288352e+01 4.955515048472e+05 4.955515048108e+05 4.955515048472e+05
4.986000000000e+04 0.000000000000e+00 nan nan 1.273685391643e+00 2.562270686211e-01 2.949272310926e-01 5.117812757016e-01 1.554615725404e+02 4.511865188167e+01 4.955515048822e+05 4.955515048448e+05 4.955515048822e+05
4.992000000000e+04 0.000000000000e+00 nan nan 1.271713742788e+00 2.569738843806e-01 2.937029272550e-01 5.134287253040e-01 1.552008769196e+02 4.524396970925e+01 4.955515049173e+05 4.955515048788e+05 4.955515049173e+05
4.998000000000e+04 0.000000000000e+00 nan nan 1.269749006496e+00 2.577199298503e-01 2.924864784332e-01 5.150737939185e-01 1.549411330816e+02 4.536912581915e+01 4.955515049523e+05 4.955515049129e+05 4.955515049523e+05
5.004000000000e+04 0.000000000000e+00 nan nan 1.267791145089e+00 2.584652012845e-01 2.912778165767e-01 5.167164689113e-01 1.546823356860e+02 4.549411966950e+01 4.955515049873e+05 4.955515049469e+05 4.955515049873e+05
5.010000000000e+04 0.000000000000e+00 nan nan 1.265840121172e+00 2.592096949748e-01 2.900768743830e-01 5.183567378340e-01 1.544244794329e+02 4.561895072463e+01 4.955515050224e+05 4.955515049808e+05 4.955515050224e+05
5.016000000000e+04 0.000000000000e+00 nan nan 1.263895897622e+00 2.599534072531e-01 2.888835853000e-01 5.199945884502e-01 1.541675590624e+02 4.574361845575e+01 4.955515050574e+05 4.955515050146e+05 4.955515050574e+05
5.022000000000e+04 0.000000000000e+00 nan nan 1.261958437591e+00 2.606963344923e-01 2.876978835230e-01 5.216300087523e-01 1.539115693542e+02 4.586812234108e+01 4.955515050924e+05 4.955515050485e+05 4.955515050924e+05
5.028000000000e+04 0.000000000000e+00 nan nan 1.260027704505e+00 2.614384731079e-01 2.865197039885e-01 5.232629869674e-01 1.536565051276e+02 4.599246186626e+01 4.955515051275e+05 4.955515050824e+05 4.955515051275e+05
5.034000000000e+04 0.000000000000e+00 nan nan 1.258103662055e+00 2.621798195584e-01 2.853489823626e-01 5.248935115532e-01 1.534023612405e+02 4.611663652437e+01 4.955515051625e+05 4.955515051164e+05 4.955515051625e+05
5.040000000000e+04 0.000000000000e+00 nan nan 1.256186274201e+00 2.629203703467e-01 2.841856550262e-01 5.265215711855e-01 1.531491325897e+02 4.624064581622e+01 4.955515051975e+05 4.955515051503e+05 4.955515051975e+05
5.046000000000e+04 0.000000000000e+00 nan nan 1.254275501978e+00 2.636601230262e-01 2.830296250638e-01 5.281471128833e-01 1.528968136492e+02 4.636448948984e+01 4.955515050326e+05 4.955515051893e+05 4.955515050326e+05
5.052000000000e+04 0.000000000000e+00 nan nan 1.252371316834e+00 2.643990714472e-01 2.818808832132e-01 5.297701911625e-01 1.526454003642e+02 4.648816645730e+01 4.955515049270e+05 4.955515050281e+05 4.955515049270e+05
5.058000000000e+04 0.000000000000e+00 nan nan 1.250473679649e+00 2.651372141536e-01 2.807393467171e-01 5.313907674032e-01 1.523948872289e+02 4.661167666384e+01 4.955515048215e+05 4.955515049263e+05 4.955515048215e+05
5.064000000000e+04 0.000000000000e+00 nan nan 1.248582555384e+00 2.658745475549e-01 2.796049549221e-01 5.330088310652e-01 1.521452692828e+02 4.673501958110e+01 4.955515047159e+05 4.955515048245e+05 4.955515047159e+05
5.070000000000e+04 0.000000000000e+00 nan nan 1.246697909263e+00 2.666110681968e-01 2.784776478026e-01 5.346243717930e-01 1.518965416046e+02 4.685819471057e+01 4.955515046103e+05 4.955515047227e+05 4.955515046103e+05
5.076000000000e+04 0.000000000000e+00 nan nan 1.244819706769e+00 2.673467726595e-01 2.773573659650e-01 5.362373794284e-01 1.516486993105e+02 4.698120156002e+01 4.955515045048e+05 4.955515046210e+05 4.955515045048e+05
5.082000000000e+04 0.000000000000e+00 nan nan 1.242947913636e+00 2.680816575601e-01 2.762440506827e-01 5.378478441176e-01 1.514017375535e+02 4.710403964412e+01 4.955515043992e+05 4.955515045192e+05 4.955515043992e+05
5.088000000000e+04 0.000000000000e+00 nan nan 1.241082495848e+00 2.688157195987e-01 2.751376438956e-01 5.394557563326e-01 1.511556515231e+02 4.722670849398e+01 4.955515042936e+05 4.955515044174e+05 4.955515042936e+05
5.094000000000e+04 0.000000000000e+00 nan nan 1.239223419639e+00 2.695489555612e-01 2.740380881818e-01 5.410611068280e-01 1.509104364451e+02 4.734920765744e+01 4.955515041881e+05 4.955515043156e+05 4.955515041881e+05
5.100000000000e+04 0.000000000000e+00 nan nan 1.237370651488e+00 2.702813623130e-01 2.729453267191e-01 5.426638865626e-01 1.506660875807e+02 4.747153669759e+01 4.955515040825e+05 4.955515042138e+05 4.955515040825e+05
5.106000000000e+04 0.000000000000e+00 nan nan 1.235524158115e+00 2.710129367823e-01 2.718593032444e-01 5.442640866158e-01 1.504226002259e+02 4.759369518896e+01 4.955515039769e+05 4.955515041120e+05 4.955515039769e+05
5.112000000000e+04 0.000000000000e+00 nan nan 1.233683906478e+00 2.717436759542e-01 2.707799620215e-01 5.458616981183e-01 1.501799697117e+02 4.771568271642e+01 4.955515038714e+05 4.955515040102e+05 4.955515038714e+05
5.118000000000e+04 0.000000000000e+00 nan nan 1.231849863774e+00 2.724735768630e-01 2.697072478196e-01 5.474567122113e-01 1.499381914032e+02 4.783749887346e+01 4.955515037658e+05 4.955515039085e+05 4.955515037658e+05
